   6.4203291e+00   6.5909671e+00   8.5424038e+00   2.0572482e+00   7.3325499e+00   6.4818505e-01   5.1050369e+00   7.4129163e+00   7.5452509e+00   2.3896101e+00   2.1963631e+00   9.3928763e+00
   4.9131383e+00   5.8168936e+00   1.1787774e+00   7.8151521e+00   6.2117578e-02   9.6970971e+00   6.6400679e+00   3.9753204e+00   8.3159333e+00   4.2199050e+00   9.2495303e+00   9.0577314e+00
   3.4285143e+00   9.5773577e+00   8.9836392e+00   7.2021591e+00   3.1108997e+00   3.0010359e+00   1.6792296e+00   9.1053128e+00   5.5622240e+00   9.2830926e+00   6.5510519e+00   3.5544102e+00
   2.4833138e-01   8.8953580e+00   1.2379655e+00   9.2344318e+00   3.1260143e+00   4.2163009e+00   3.6253697e+00   1.5367088e+00   9.0933198e+00   7.7294821e-01   1.8124153e+00   5.9400271e+00
   5.3960672e+00   6.3741229e+00   1.2289570e+00   4.0053069e+00   7.2330005e+00   6.9143409e+00   7.7290687e+00   8.8061688e+00   7.3762488e+00   5.8666261e+00   2.9745700e+00   4.9158480e+00
   2.4524157e+00   3.6558730e-02   3.0333405e+00   5.1788351e+00   8.8161881e+00   1.9010391e+00   8.2291702e+00   9.5255984e-01   8.3038202e-01   5.1589192e+00   7.1285007e+00   5.0786752e+00
   3.5299761e+00   7.0958359e+00   2.2749898e+00   3.6928898e+00   5.3148091e+00   1.0194144e+00   8.4457451e+00   6.8797783e+00   4.3624709e-01   7.6465115e-01   3.6562428e+00   2.9653436e+00
   3.1486639e+00   9.4791897e+00   4.5174279e+00   1.5014845e+00   8.5248732e+00   7.7755639e+00   8.6686280e+00   4.4954338e+00   3.9539589e+00   9.9408477e+00   5.2681593e+00   3.7947867e+00
   9.4406605e+00   6.2250761e+00   7.5535072e+00   7.2362087e+00   1.0979847e+00   9.1570215e+00   5.7470160e+00   9.5759856e+00   7.2984884e+00   7.1657323e-01   7.3951370e+00   1.8738239e+00
   7.4823566e+00   7.3904761e+00   7.8121908e+00   6.2694729e+00   9.2204306e+00   8.6683790e+00   1.8830350e+00   2.0983987e-01   1.4044691e+00   9.1179010e+00   8.3091320e+00   7.5859557e+00
   3.2200614e+00   4.1717504e-01   7.1623895e+00   8.1557057e+00   2.8931329e+00   9.9737074e+00   6.4214172e+00   2.3222415e+00   4.5058885e+00   1.1856383e+00   5.7422382e-01   2.3807851e+00
